Alpha,Type,Cluster,Semantic,N,1h_nRMSE,2h_nRMSE,4h_nRMSE,1h_Delta,2h_Delta,4h_Delta
Hard,Overall,,,1117,0.100848,0.118650,0.131850,0,0,0
Hard,Cluster,0,cloudy,244,0.129925,0.144893,0.148042,0,0,0
Hard,Cluster,1,low_irradiance,350,0.102045,0.133838,0.153961,0,0,0
Hard,Cluster,2,clear,523,0.082929,0.091021,0.105077,0,0,0
0.5,Overall,,,1117,0.100409,0.118498,0.132272,-0.000439,-0.000152,0.000421
0.5,Cluster,0,cloudy,244,0.130592,0.147585,0.153169,0.000667,0.002692,0.005127
0.5,Cluster,1,low_irradiance,350,0.101417,0.132746,0.153455,-0.000628,-0.001092,-0.000506
0.5,Cluster,2,clear,523,0.081811,0.089640,0.103260,-0.001118,-0.001381,-0.001818
0.7,Overall,,,1117,0.100518,0.118624,0.132357,-0.000330,-0.000026,0.000507
0.7,Cluster,0,cloudy,244,0.130605,0.147484,0.152785,0.000680,0.002591,0.004743
0.7,Cluster,1,low_irradiance,350,0.101517,0.132931,0.153591,-0.000528,-0.000907,-0.000370
0.7,Cluster,2,clear,523,0.082003,0.089891,0.103623,-0.000926,-0.001130,-0.001454
1.0,Overall,,,1117,0.100640,0.118743,0.132384,-0.000208,0.000093,0.000534
1.0,Cluster,0,cloudy,244,0.130593,0.147293,0.152230,0.000668,0.002400,0.004188
1.0,Cluster,1,low_irradiance,350,0.101649,0.133137,0.153728,-0.000396,-0.000701,-0.000232
1.0,Cluster,2,clear,523,0.082223,0.090167,0.103940,-0.000706,-0.000855,-0.001137
1.2,Overall,,,1117,0.100696,0.118787,0.132365,-0.000151,0.000137,0.000515
1.2,Cluster,0,cloudy,244,0.130573,0.147155,0.151881,0.000648,0.002262,0.003839
1.2,Cluster,1,low_irradiance,350,0.101719,0.133240,0.153789,-0.000325,-0.000598,-0.000172
1.2,Cluster,2,clear,523,0.082327,0.090293,0.104067,-0.000603,-0.000728,-0.001010
1.5,Overall,,,1117,0.100755,0.118821,0.132313,-0.000093,0.000170,0.000463
1.5,Cluster,0,cloudy,244,0.130534,0.146951,0.151398,0.000609,0.002058,0.003356
1.5,Cluster,1,low_irradiance,350,0.101803,0.133359,0.153848,-0.000242,-0.000479,-0.000113
1.5,Cluster,2,clear,523,0.082438,0.090426,0.104196,-0.000491,-0.000596,-0.000882
2.0,Overall,,,1117,0.100809,0.118829,0.132207,-0.000039,0.000179,0.000357
2.0,Cluster,0,cloudy,244,0.130458,0.146633,0.150712,0.000533,0.001740,0.002671
2.0,Cluster,1,low_irradiance,350,0.101898,0.133491,0.153891,-0.000147,-0.000347,-0.000070
2.0,Cluster,2,clear,523,0.082556,0.090560,0.104329,-0.000373,-0.000462,-0.000748
3.0,Overall,,,1117,0.100841,0.118782,0.132024,-0.000006,0.000132,0.000174
3.0,Cluster,0,cloudy,244,0.130305,0.146113,0.149737,0.000380,0.001220,0.001696
3.0,Cluster,1,low_irradiance,350,0.101990,0.133619,0.153893,-0.000055,-0.000219,-0.000068
3.0,Cluster,2,clear,523,0.082679,0.090694,0.104488,-0.000250,-0.000327,-0.000590
